[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: UPDATE `pp_items_cate` SET `item_nums`='1' WHERE ( `id` = '164' ) [ RunTime:0.000272s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: UPDATE `pp_items_cate` SET `item_nums`='1' WHERE ( `id` = '173' ) [ RunTime:0.000269s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: UPDATE `pp_items_cate` SET `item_nums`='1' WHERE ( `id` = '206' ) [ RunTime:0.000232s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '333' ) [ RunTime:0.000184s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '349' ) [ RunTime:0.000163s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '352' ) [ RunTime:0.000156s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '353' ) [ RunTime:0.000175s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '366' ) [ RunTime:0.000169s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '376' ) [ RunTime:0.000154s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | INFO: Tag[ view_template ] --START--
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | INFO: Run LocationTemplate Behavior [ RunTime:0.001594s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001647s ]
